entity,year,total_pop,continent,kg_apple_prod_capita_year,phd_awards,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,fruit_consumed_kg_pc_year,gdp_capita_year,life_expectancy,deaths_neoplasms,daly,percent_prevalence_depressive_disorders
Andorra,2002,70048,Europe,NA,NA,NA,NA,NA,NA,NA,NA,79.468,129.49776986203096,19086.60670882782,3.74705210091
Andorra,2003,73180,Europe,NA,NA,NA,NA,NA,NA,NA,NA,79.713,135.08042137676046,19001.21509773684,3.73833268212
Andorra,2004,76250,Europe,NA,NA,NA,NA,NA,NA,NA,NA,79.919,140.19437851923234,18974.660048940743,3.7288308906
Andorra,2005,78871,Europe,NA,NA,NA,NA,NA,NA,NA,NA,80.103,142.5761129404554,18894.528563122043,3.7245327812
Andorra,2006,80995,Europe,NA,NA,NA,NA,NA,NA,NA,NA,80.292,146.72427775978358,18762.704021808077,3.71819956838
Andorra,2007,82682,Europe,NA,NA,NA,NA,NA,NA,NA,NA,80.515,152.24907111537496,18693.74449883277,3.71148456641
Andorra,2008,83860,Europe,NA,NA,NA,NA,NA,NA,NA,NA,80.785,157.80114222965972,18565.74072288593,3.70868977589
Andorra,2009,84461,Europe,NA,NA,NA,NA,NA,NA,NA,NA,81.104,163.05510442589448,18516.315685393063,3.70796225856
Andorra,2010,84454,Europe,NA,NA,NA,NA,NA,NA,NA,NA,81.461,166.49461076251663,18410.668625353483,3.70879683795
Andorra,2011,83748,Europe,NA,NA,NA,NA,NA,NA,NA,NA,81.837,153.3760951675827,18335.352014628792,3.72528127995
Andorra,2012,82427,Europe,NA,NA,NA,NA,NA,NA,NA,NA,82.202,149.82606167639773,18281.470045898834,3.72593229476
Andorra,2013,80770,Europe,NA,NA,NA,NA,NA,NA,NA,NA,82.536,152.87346839672676,18210.43049694208,3.72758938063
Andorra,2014,79213,Europe,NA,NA,NA,NA,NA,NA,NA,NA,82.828,156.76676432396465,18106.10056348117,3.72837859851
Andorra,2015,77993,Europe,NA,NA,NA,NA,NA,NA,NA,NA,83.073,160.9914405077778,17963.82946794026,3.72788482086
Andorra,2016,77295,Europe,NA,NA,NA,NA,NA,NA,NA,NA,83.274,165.21837018881203,17974.82138687987,3.726824884060001
Andorra,2017,76997,Europe,NA,NA,NA,NA,NA,NA,NA,NA,83.443,171.70941662696714,17946.372113584734,3.72953168612
Austria,1990,7723954,Europe,43.17,NA,263.08,146.76,1406.16,1694,379.98320000000007,37440.8371224764,75.596,19323.52060944678,25376.63848218625,3.60620414187
Austria,1991,7772698,Europe,42.5,NA,266.6,146,1433.07,1710.33,384.5316,38344.6538588312,75.83,19517.854046410976,25313.35541254538,3.61581125676
Austria,1992,7830938,Europe,45.95,NA,273.6,142.2,1452.78,1677.42,400.8620000000001,38718.93304962,76.063,19492.121874808312,25028.634596202603,3.62292714659
Austria,1993,7892089,Europe,58.99,NA,268,142.08,1434.15,1663.77,452.8124,38603.2585486016,76.304,19555.09247087272,24765.105444366585,3.62702204051
Austria,1994,7947215,Europe,40.07,NA,281.56,137.96,1428.39,1709.09,419.0282,39378.7061153852,76.557,19296.28368170308,24343.84456462302,3.62788358649
Austria,1995,7990113,Europe,39.34,NA,254.48,147.68,1375.11,1732.73,328.8548,40367.4710458506,76.823,19336.25240206722,23905.608907090027,3.62486931295
Austria,1996,8017852,Europe,35.93,NA,261.84,151,1403.28,1734.88,272.27380000000005,41260.1714020034,77.101,19317.05733571884,23543.1353759704,3.61233395588
Austria,1997,8032873,Europe,46.28,NA,263,137.32,1410.3,1683.38,327.293,42076.2876519581,77.386,18891.59512520805,22920.81132660043,3.58156174351
Austria,1998,8041054,Europe,32.92,NA,258.24,157.68,1406.97,1785.11,250.95660000000004,43535.4217533188,77.672,18821.93134717409,22673.137538527044,3.5442124131499995
Austria,1999,8051116,Europe,40.51,NA,258.4,163.56,1415.07,1835.97,309.26380000000006,44996.0545966818,77.957,18731.798747400197,22409.211949624176,3.50555180891
Austria,2000,8069276,Europe,56.83,NA,259.4,164.72,1431.18,1870.7,348.7198,46403.2776992589,78.239,18677.80941766016,22234.042399446866,3.4734686606099996
Austria,2001,8097755,Europe,52.13,NA,259.44,168.12,1445.94,1854.5,355.6246,46811.746772924,78.518,18408.533374234357,21756.842932301646,3.4488051468900003
Austria,2002,8134403,Europe,50.47,NA,257.84,166.36,1388.52,1839.28,329.6494,47351.3346982706,78.791,18491.198239902325,21509.23424250782,3.42517356508
Austria,2003,8175855,Europe,57.87,NA,240.4,167.96,1361.52,1839.12,384.5042000000001,47564.8638976916,79.059,18623.08507170414,21412.175406113267,3.4027128779300004
Austria,2004,8216810,Europe,48.49,NA,236.88,165.08,1400.4,1803.64,386.6688,48563.5886574222,79.318,18479.84535603425,21053.901783654383,3.38048675009
Austria,2005,8253656,Europe,53.41,NA,242.2,168.56,1370.34,1858.9,393.7928,49316.2647023136,79.567,18672.350503994585,20819.65792713667,3.36161309941
Austria,2006,8285345,Europe,49.71,NA,236.36,169.48,1460.7,1852.46,394.88880000000006,50767.8484448075,79.806,18504.32033092584,20341.02854420797,3.3447036404799997
Austria,2007,8313731,Europe,62.82,NA,242.16,172.52,1464.93,1857.39,410.178,52489.7572106205,80.032,18893.33952239422,20232.55211354848,3.3279384575
Austria,2008,8341525,Europe,67,NA,237.2,169.92,1456.74,1853.14,429.4402,53089.8763414956,80.246,19133.60200424932,20057.02128857716,3.31197871983
Austria,2009,8372658,Europe,44.55,NA,239.92,169.52,1510.38,1803.18,357.5974,50957.6063796813,80.444,19873.55976402655,20219.93499008524,3.29889417716
Austria,2010,8409945,Europe,47.94,NA,242.16,164.84,1532.52,1784.48,358.22760000000005,51769.1455641151,80.622,20172.70241384141,20048.121319252725,3.2902066603799995
Austria,2011,8453501,Europe,53.09,NA,243.08,170,1495.62,1826.3,426.89200000000005,53102.950844304,80.776,20575.6528323301,19772.136826408583,3.28490453608
Austria,2012,8502230,Europe,60.49,NA,243.64,170.12,1508.94,1816.3,428.5908,53221.0786648309,80.906,20828.06495777167,19487.33647983676,3.2785638887300004
Austria,2013,8556191,Europe,48.34,NA,251.44,173.4,1533.96,1809.2,422.2614000000001,52921.8171022969,81.013,21018.6222850031,19279.1308498312,3.2735781924500005
Austria,2014,8615205,Europe,NA,NA,NA,NA,NA,NA,255.6694,52857.0563215416,81.103,21299.409849299107,19107.356875960664,3.26745995576
Austria,2015,8678667,Europe,NA,NA,NA,NA,NA,NA,274.548,52798.0994607541,81.182,21459.045511326894,18994.101755695876,3.26403220401
Austria,2016,8747306,Europe,NA,NA,NA,NA,NA,NA,204.3492,53269.3062047537,81.258,21493.659357443372,18763.505329273972,3.262610515
Austria,2017,8819902,Europe,NA,NA,NA,NA,NA,NA,235.20160000000004,54169.9639937065,81.34,21744.67220496864,18620.941516420527,3.2609699942
Bangladesh,2007,142660381,Asia,0.29,NA,33.44,181.64,257.58,1944.34,62.4994,2537.11119756525,68.648,71759.5069922723,43898.2431090558,4.22698762907
Bangladesh,2008,144304164,Asia,0.59,NA,34.08,174.56,248.76,1928.6,64.1982,2659.04923206241,69.072,74186.13453978332,42595.440836271686,4.2249977433199994
Bangladesh,2009,145924795,Asia,0.93,NA,37,183.92,264.87,1939.21,65.8696,2762.18047443876,69.485,75511.76759852486,41109.75726796206,4.22374274621
Bangladesh,2010,147575433,Asia,1.08,NA,38.6,184.8,258.66,1956.94,70.007,2883.46679391309,69.881,78109.11485282236,40092.4243925229,4.22464007963
Bangladesh,2011,149273134,Asia,0.95,NA,39.16,179.08,266.49,1944.27,64.527,3034.95108156758,70.256,79075.92029653695,38679.49308112571,4.22136714926
Bangladesh,2012,151005733,Asia,0.83,NA,39.48,179.08,272.34,1944.1,63.02,3195.78104025627,70.606,80350.3943930434,37306.26400244368,4.21367238455
Bangladesh,2013,152761413,Asia,0.95,NA,39.68,183.68,269.37,1957.27,63.9242,3349.02500775857,70.93,83439.76234322449,36169.93797644491,4.199102974760001
Bangladesh,2015,156256287,Asia,NA,NA,NA,NA,NA,NA,72.7744,3700.11082057504,71.514,91505.81410570328,34465.57367101545,4.16087254729
Bangladesh,2016,157977151,Asia,NA,NA,NA,NA,NA,NA,74.1718,3920.14450723583,71.785,94469.42506310076,33690.66952639379,4.13692262655
Bangladesh,1990,103171957,Asia,0.03,NA,19.92,162.8,155.07,1773.21,31.5648,1517.72927106581,58.21,56165.8915929112,67756.84389673901,4.16548462853
